| INST   | DEC      | BIN              |
++++++++++++++++++++++++++++++++++++++++
| B      | 160      | 00010100000      |
| CBZ    | 1440     | 10110100000      |
| MOVZ   | 1280     | 10100000000      |
| MOVK   | 1284     | 10100000100      |
| ADDI   | 1152     | 10010000000      |
| ANDI   | 1154     | 10010000010      |
| ORRI   | 1156     | 10010000100      |
| XORI   | 1158     | 10010000110      |
| SUBI   | 1160     | 10010001000      |
| NORI   | 1162     | 10010001010      |
| LDUR   | 1986     | 11111000010      |
| STUR   | 1984     | 11111000000      |
| ADD    | 1088     | 10001000000      |
| AND    | 1089     | 10001000001      |
| ORR    | 1090     | 10001000010      |
| XOR    | 1091     | 10001000011      |
| NOR    | 1092     | 10001000100      |
| SUB    | 1093     | 10001000101      |
| LSR    | 1125     | 10001100101      |
| LSL    | 1126     | 10001100110      |
